bits,  st_ID,  st_RD,  st_WR, 
 32,  1362909052,  1405940433,  2359048149, 
 32, 0b01010001001111000101011101111100, 0b01010011110011001111001011010001, 0b10001100100111000011011111010101, 
 31,  1848743918,  1058761445,  2146336939, 
 31, 0b1101110001100011001011111101110, 0b0111111000110110110101011100101, 0b1111111111011101000000010101011, 
 30,  1006378912,  497875824,  1023167836, 
 30, 0b111011111111000001111110100000, 0b011101101011001111101101110000, 0b111100111111000100110101011100, 
 29,  33552319,  216006643,  452853689, 
 29, 0b00001111111111111011110111111, 0b01100110111111111111111110011, 0b11010111111011111111110111001, 
 28,  52402429,  68501487,  15245309, 
 28, 0b0011000111111001100011111101, 0b0100000101010011111111101111, 0b0000111010001001111111111101, 
 27,  84046396,  114387010,  18255123, 
 27, 0b101000000100111001000111100, 0b110110100010110100001000010, 0b001000101101000110100010011, 
 26,  16879373,  214823,  17156135, 
 26, 0b01000000011000111100001101, 0b00000000110100011100100111, 0b01000001011100100000100111, 
 25,  3773991,  2640631,  4688551, 
 25, 0b0001110011001011000100111, 0b0001010000100101011110111, 0b0010001111000101010100111, 
 24,  5226230,  15548404,  13414398, 
 24, 0b010011111011111011110110, 0b111011010011111111110100, 0b110011001010111111111110, 
 23,  578481,  799593,  3177249, 
 23, 0b00010001101001110110001, 0b00011000011001101101001, 0b01100000111101100100001, 
 22,  3213455,  2693205,  1642012, 
 22, 0b1100010000100010001111, 0b1010010001100001010101, 0b0110010000111000011100, 
 21,  1536170,  1502481,  859533, 
 21, 0b101110111000010101010, 0b101101110110100010001, 0b011010001110110001101, 
 20,  965503,  65535,  917372, 
 20, 0b11101011101101111111, 0b00001111111111111111, 0b11011111111101111100, 
 19,  459004,  338131,  381153, 
 19, 0b1110000000011111100, 0b1010010100011010011, 0b1011101000011100001, 
 18,  71070,  210580,  144818, 
 18, 0b010001010110011110, 0b110011011010010100, 0b100011010110110010, 
 17,  66431,  110440,  124455, 
 17, 0b10000001101111111, 0b11010111101101000, 0b11110011000100111, 
 16,  18894,  510,  33231, 
 16, 0b0100100111001110, 0b0000000111111110, 0b1000000111001111, 
 15,  32517,  32041,  16201, 
 15, 0b111111100000101, 0b111110100101001, 0b011111101001001, 
 14,  11308,  15363,  13616, 
 14, 0b10110000101100, 0b11110000000011, 0b11010100110000, 
 13,  3025,  6628,  7506, 
 13, 0b0101111010001, 0b1100111100100, 0b1110101010010, 
 12,  1309,  2984,  231, 
 12, 0b010100011101, 0b101110101000, 0b000011100111, 
 11,  1812,  87,  484, 
 11, 0b11100010100, 0b00001010111, 0b00111100100, 
 10,  121,  425,  205, 
 10, 0b0001111001, 0b0110101001, 0b0011001101, 
 9,  498,  250,  474, 
 9, 0b111110010, 0b011111010, 0b111011010, 
 8,  191,  223,  127, 
 8, 0b10111111, 0b11011111, 0b01111111, 
 7,  76,  70,  74, 
 7, 0b1001100, 0b1000110, 0b1001010, 
 6,  44,  11,  50, 
 6, 0b101100, 0b001011, 0b110010, 
 5,  24,  12,  20, 
 5, 0b11000, 0b01100, 0b10100, 
 4,  9,  5,  3, 
 4, 0b1001, 0b0101, 0b0011, 
 3,  2,  1,  4, 
 3, 0b010, 0b001, 0b100, 
